experiment,class_name,mean_f1,std_population
dinov2_small_224,모낭사이홍반,0.8081632653061224,0.0
dinov2_small_224,미세각질,0.7286245353159851,0.0
dinov2_small_224,비듬,0.7374999999999999,0.0
dinov2_small_224,탈모,0.7848605577689243,0.0
dinov2_small_224,피지과다,0.7935222672064778,0.0
efficientnetv2s_256,모낭사이홍반,0.8037735849056605,0.0
efficientnetv2s_256,미세각질,0.707269155206287,0.0
efficientnetv2s_256,비듬,0.7257019438444924,0.0
efficientnetv2s_256,탈모,0.7885010266940451,0.0
efficientnetv2s_256,피지과다,0.8155339805825244,0.0
multires_b1_384,모낭사이홍반,0.8378378378378377,0.0
multires_b1_384,미세각질,0.7400000000000001,0.0
multires_b1_384,비듬,0.7479338842975207,0.0
multires_b1_384,탈모,0.8353413654618472,0.0
multires_b1_384,피지과다,0.8174603174603174,0.0
